Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 225: Adicionadas 5 amostras | Incerteza Média Batch: 3.1709 | Test R2: -7.6977 | Test MAE: 10.3984
Iteração 226: Adicionadas 5 amostras | Incerteza Média Batch: 3.0987 | Test R2: -7.4904 | Test MAE: 10.2331
Iteração 227: Adicionadas 5 amostras | Incerteza Média Batch: 3.1004 | Test R2: -7.3046 | Test MAE: 10.0739
Iteração 228: Adicionadas 5 amostras | Incerteza Média Batch: 3.1142 | Test R2: -7.1312 | Test MAE: 9.9158
Iteração 229: Adicionadas 5 amostras | Incerteza Média Batch: 3.2447 | Test R2: -6.9614 | Test MAE: 9.7529
Iteração 230: Adicionadas 5 amostras | Incerteza Média Batch: 3.2330 | Test R2: -6.8110 | Test MAE: 9.5978
Iteração 231: Adicionadas 5 amostras | Incerteza Média Batch: 3.3183 | Test R2: -6.6795 | Test MAE: 9.4521
Iteração 232: Adicionadas 5 amostras | Incerteza Média Batch: 3.4310 | Test R2: -6.5924 | Test MAE: 9.3429
Iteração 233: Adicionadas 5 amostras | Incerteza Média Batch: 3.4837 | Test R2: -6.5471 | Test MAE: 9.2743
Iteração 234: Adicionadas 5 amostras | Incerteza Média Batch: 3.5197 | Test R2: -6.5462 | Test MAE: 9.2499
Iteração 235: Adicionadas 5 amostras | Incerteza Média Batch: 3.5278 | Test R2: -6.5768 | Test MAE: 9.2607
Iteração 236: Adicionadas 5 amostras | Incerteza Média Batch: 3.4800 | Test R2: -6.6285 | Test MAE: 9.2928
Iteração 237: Adicionadas 5 amostras | Incerteza Média Batch: 3.4633 | Test R2: -6.7077 | Test MAE: 9.3531
Iteração 238: Adicionadas 5 amostras | Incerteza Média Batch: 3.4288 | Test R2: -6.8119 | Test MAE: 9.4384
Iteração 239: Adicionadas 5 amostras | Incerteza Média Batch: 3.3111 | Test R2: -6.9282 | Test MAE: 9.5306
Iteração 240: Adicionadas 5 amostras | Incerteza Média Batch: 3.2435 | Test R2: -7.0508 | Test MAE: 9.6252
Iteração 241: Adicionadas 5 amostras | Incerteza Média Batch: 3.1781 | Test R2: -7.1973 | Test MAE: 9.7337
Iteração 242: Adicionadas 5 amostras | Incerteza Média Batch: 3.0694 | Test R2: -7.3196 | Test MAE: 9.8177
Iteração 243: Adicionadas 5 amostras | Incerteza Média Batch: 3.0189 | Test R2: -7.4911 | Test MAE: 9.9308
Iteração 244: Adicionadas 5 amostras | Incerteza Média Batch: 2.8303 | Test R2: -7.6464 | Test MAE: 10.0273
Iteração 245: Adicionadas 5 amostras | Incerteza Média Batch: 2.7093 | Test R2: -7.7653 | Test MAE: 10.0948
Iteração 246: Adicionadas 5 amostras | Incerteza Média Batch: 2.5980 | Test R2: -7.8415 | Test MAE: 10.1361
Iteração 247: Adicionadas 5 amostras | Incerteza Média Batch: 2.5403 | Test R2: -7.8775 | Test MAE: 10.1541
Iteração 248: Adicionadas 5 amostras | Incerteza Média Batch: 2.4968 | Test R2: -7.8636 | Test MAE: 10.1422
Iteração 249: Adicionadas 5 amostras | Incerteza Média Batch: 2.4555 | Test R2: -7.7935 | Test MAE: 10.0967
Iteração 250: Adicionadas 5 amostras | Incerteza Média Batch: 2.4035 | Test R2: -7.6871 | Test MAE: 10.0275
Iteração 251: Adicionadas 5 amostras | Incerteza Média Batch: 2.3090 | Test R2: -7.6126 | Test MAE: 9.9798
Iteração 252: Adicionadas 5 amostras | Incerteza Média Batch: 2.3103 | Test R2: -7.5160 | Test MAE: 9.9158
Iteração 253: Adicionadas 5 amostras | Incerteza Média Batch: 2.2949 | Test R2: -7.4380 | Test MAE: 9.8639
Iteração 254: Adicionadas 5 amostras | Incerteza Média Batch: 2.2448 | Test R2: -7.4308 | Test MAE: 9.8598
Iteração 255: Adicionadas 5 amostras | Incerteza Média Batch: 2.1959 | Test R2: -7.4503 | Test MAE: 9.8735
Iteração 256: Adicionadas 5 amostras | Incerteza Média Batch: 2.1813 | Test R2: -7.4751 | Test MAE: 9.8892
Iteração 257: Adicionadas 5 amostras | Incerteza Média Batch: 2.1618 | Test R2: -7.5350 | Test MAE: 9.9322
Iteração 258: Adicionadas 5 amostras | Incerteza Média Batch: 2.1281 | Test R2: -7.5477 | Test MAE: 9.9437
Iteração 259: Adicionadas 5 amostras | Incerteza Média Batch: 2.1291 | Test R2: -7.5187 | Test MAE: 9.9301
Iteração 260: Adicionadas 5 amostras | Incerteza Média Batch: 2.1341 | Test R2: -7.4411 | Test MAE: 9.8854
Iteração 261: Adicionadas 5 amostras | Incerteza Média Batch: 2.1906 | Test R2: -7.3379 | Test MAE: 9.8234
Iteração 262: Adicionadas 5 amostras | Incerteza Média Batch: 2.1781 | Test R2: -7.2521 | Test MAE: 9.7729
Iteração 263: Adicionadas 5 amostras | Incerteza Média Batch: 2.1372 | Test R2: -7.1724 | Test MAE: 9.7257
Iteração 264: Adicionadas 5 amostras | Incerteza Média Batch: 2.1483 | Test R2: -7.0626 | Test MAE: 9.6560
Iteração 265: Adicionadas 5 amostras | Incerteza Média Batch: 2.0835 | Test R2: -6.9716 | Test MAE: 9.5968
Iteração 266: Adicionadas 5 amostras | Incerteza Média Batch: 2.1183 | Test R2: -6.9538 | Test MAE: 9.5868
Iteração 267: Adicionadas 5 amostras | Incerteza Média Batch: 2.0401 | Test R2: -6.9137 | Test MAE: 9.5529
Iteração 268: Adicionadas 5 amostras | Incerteza Média Batch: 2.0395 | Test R2: -6.9323 | Test MAE: 9.5608
Iteração 269: Adicionadas 5 amostras | Incerteza Média Batch: 2.0224 | Test R2: -6.9401 | Test MAE: 9.5558
Iteração 270: Adicionadas 5 amostras | Incerteza Média Batch: 2.0303 | Test R2: -6.9529 | Test MAE: 9.5558
Iteração 271: Adicionadas 5 amostras | Incerteza Média Batch: 2.0023 | Test R2: -6.9434 | Test MAE: 9.5344
Iteração 272: Adicionadas 5 amostras | Incerteza Média Batch: 2.0032 | Test R2: -6.9534 | Test MAE: 9.5284
Iteração 273: Adicionadas 5 amostras | Incerteza Média Batch: 1.9711 | Test R2: -6.9399 | Test MAE: 9.5034
Iteração 274: Adicionadas 5 amostras | Incerteza Média Batch: 1.9695 | Test R2: -6.9258 | Test MAE: 9.4789
Iteração 275: Adicionadas 5 amostras | Incerteza Média Batch: 1.9424 | Test R2: -6.9210 | Test MAE: 9.4646
Iteração 276: Adicionadas 5 amostras | Incerteza Média Batch: 1.9547 | Test R2: -6.9078 | Test MAE: 9.4446
Iteração 277: Adicionadas 5 amostras | Incerteza Média Batch: 1.9517 | Test R2: -6.8902 | Test MAE: 9.4230
Iteração 278: Adicionadas 5 amostras | Incerteza Média Batch: 1.9060 | Test R2: -6.8765 | Test MAE: 9.4096
Iteração 279: Adicionadas 5 amostras | Incerteza Média Batch: 1.8860 | Test R2: -6.8597 | Test MAE: 9.3995
Iteração 280: Adicionadas 5 amostras | Incerteza Média Batch: 1.8868 | Test R2: -6.8548 | Test MAE: 9.4045
Iteração 281: Adicionadas 5 amostras | Incerteza Média Batch: 1.8985 | Test R2: -6.8498 | Test MAE: 9.4152
Iteração 282: Adicionadas 5 amostras | Incerteza Média Batch: 1.8543 | Test R2: -6.8404 | Test MAE: 9.4266
Iteração 283: Adicionadas 5 amostras | Incerteza Média Batch: 1.9110 | Test R2: -6.8466 | Test MAE: 9.4456
Iteração 284: Adicionadas 5 amostras | Incerteza Média Batch: 1.8728 | Test R2: -6.8603 | Test MAE: 9.4628
Iteração 285: Adicionadas 5 amostras | Incerteza Média Batch: 1.8321 | Test R2: -6.8647 | Test MAE: 9.4703
Iteração 286: Adicionadas 5 amostras | Incerteza Média Batch: 1.8222 | Test R2: -6.8405 | Test MAE: 9.4576
Iteração 287: Adicionadas 5 amostras | Incerteza Média Batch: 1.8040 | Test R2: -6.8008 | Test MAE: 9.4348
Iteração 288: Adicionadas 5 amostras | Incerteza Média Batch: 1.7778 | Test R2: -6.7408 | Test MAE: 9.3999
Iteração 289: Adicionadas 5 amostras | Incerteza Média Batch: 1.7828 | Test R2: -6.6702 | Test MAE: 9.3580
Iteração 290: Adicionadas 5 amostras | Incerteza Média Batch: 1.7891 | Test R2: -6.5935 | Test MAE: 9.3086
Iteração 291: Adicionadas 5 amostras | Incerteza Média Batch: 1.8056 | Test R2: -6.5447 | Test MAE: 9.2763
Iteração 292: Adicionadas 5 amostras | Incerteza Média Batch: 1.8007 | Test R2: -6.5109 | Test MAE: 9.2555
Iteração 293: Adicionadas 5 amostras | Incerteza Média Batch: 1.7914 | Test R2: -6.4547 | Test MAE: 9.2177
Iteração 294: Adicionadas 5 amostras | Incerteza Média Batch: 1.7920 | Test R2: -6.4043 | Test MAE: 9.1804
Iteração 295: Adicionadas 5 amostras | Incerteza Média Batch: 1.7987 | Test R2: -6.3999 | Test MAE: 9.1774
Iteração 296: Adicionadas 5 amostras | Incerteza Média Batch: 1.8154 | Test R2: -6.3733 | Test MAE: 9.1595
Iteração 297: Adicionadas 5 amostras | Incerteza Média Batch: 1.8126 | Test R2: -6.3255 | Test MAE: 9.1268
Iteração 298: Adicionadas 5 amostras | Incerteza Média Batch: 1.8213 | Test R2: -6.2539 | Test MAE: 9.0783
Iteração 299: Adicionadas 5 amostras | Incerteza Média Batch: 1.8432 | Test R2: -6.1466 | Test MAE: 9.0049
Iteração 300: Adicionadas 5 amostras | Incerteza Média Batch: 1.8676 | Test R2: -6.0282 | Test MAE: 8.9245
Iteração 301: Adicionadas 5 amostras | Incerteza Média Batch: 1.9039 | Test R2: -5.9089 | Test MAE: 8.8427
Iteração 302: Adicionadas 5 amostras | Incerteza Média Batch: 1.9289 | Test R2: -5.7704 | Test MAE: 8.7465
Iteração 303: Adicionadas 5 amostras | Incerteza Média Batch: 1.9687 | Test R2: -5.6240 | Test MAE: 8.6423
Iteração 304: Adicionadas 5 amostras | Incerteza Média Batch: 2.0079 | Test R2: -5.4825 | Test MAE: 8.5410
Iteração 305: Adicionadas 5 amostras | Incerteza Média Batch: 1.9914 | Test R2: -5.3364 | Test MAE: 8.4339
Iteração 306: Adicionadas 5 amostras | Incerteza Média Batch: 2.0035 | Test R2: -5.2179 | Test MAE: 8.3483
Iteração 307: Adicionadas 5 amostras | Incerteza Média Batch: 1.9730 | Test R2: -5.1029 | Test MAE: 8.2645
Iteração 308: Adicionadas 5 amostras | Incerteza Média Batch: 1.9746 | Test R2: -4.9908 | Test MAE: 8.1824
Iteração 309: Adicionadas 5 amostras | Incerteza Média Batch: 1.9986 | Test R2: -4.9175 | Test MAE: 8.1324
Iteração 310: Adicionadas 5 amostras | Incerteza Média Batch: 2.0100 | Test R2: -4.8345 | Test MAE: 8.0745
Iteração 311: Adicionadas 5 amostras | Incerteza Média Batch: 2.0189 | Test R2: -4.7194 | Test MAE: 7.9911
Iteração 312: Adicionadas 5 amostras | Incerteza Média Batch: 2.0003 | Test R2: -4.5720 | Test MAE: 7.8803
Iteração 313: Adicionadas 5 amostras | Incerteza Média Batch: 2.0133 | Test R2: -4.4239 | Test MAE: 7.7676
Iteração 314: Adicionadas 5 amostras | Incerteza Média Batch: 2.0260 | Test R2: -4.2830 | Test MAE: 7.6607
Iteração 315: Adicionadas 5 amostras | Incerteza Média Batch: 2.0327 | Test R2: -4.1455 | Test MAE: 7.5551
Iteração 316: Adicionadas 5 amostras | Incerteza Média Batch: 2.0345 | Test R2: -4.0239 | Test MAE: 7.4607
Iteração 317: Adicionadas 5 amostras | Incerteza Média Batch: 2.0786 | Test R2: -3.9251 | Test MAE: 7.3843
Iteração 318: Adicionadas 5 amostras | Incerteza Média Batch: 2.0713 | Test R2: -3.8085 | Test MAE: 7.2915
Iteração 319: Adicionadas 5 amostras | Incerteza Média Batch: 2.0744 | Test R2: -3.6917 | Test MAE: 7.1966
Iteração 320: Adicionadas 5 amostras | Incerteza Média Batch: 2.0929 | Test R2: -3.5555 | Test MAE: 7.0821
Iteração 321: Adicionadas 5 amostras | Incerteza Média Batch: 2.0865 | Test R2: -3.4000 | Test MAE: 6.9473
Iteração 322: Adicionadas 5 amostras | Incerteza Média Batch: 2.0993 | Test R2: -3.2518 | Test MAE: 6.8175
Iteração 323: Adicionadas 5 amostras | Incerteza Média Batch: 2.0778 | Test R2: -3.1108 | Test MAE: 6.6916
Iteração 324: Adicionadas 5 amostras | Incerteza Média Batch: 2.0787 | Test R2: -2.9910 | Test MAE: 6.5839
Iteração 325: Adicionadas 5 amostras | Incerteza Média Batch: 2.0598 | Test R2: -2.8673 | Test MAE: 6.4714
Iteração 326: Adicionadas 5 amostras | Incerteza Média Batch: 2.0335 | Test R2: -2.7430 | Test MAE: 6.3571
Iteração 327: Adicionadas 5 amostras | Incerteza Média Batch: 2.0302 | Test R2: -2.6502 | Test MAE: 6.2760
Iteração 328: Adicionadas 5 amostras | Incerteza Média Batch: 2.0109 | Test R2: -2.5652 | Test MAE: 6.2023
Iteração 329: Adicionadas 5 amostras | Incerteza Média Batch: 1.9988 | Test R2: -2.4936 | Test MAE: 6.1416
Iteração 330: Adicionadas 5 amostras | Incerteza Média Batch: 1.9624 | Test R2: -2.4361 | Test MAE: 6.0966
Iteração 331: Adicionadas 5 amostras | Incerteza Média Batch: 1.9273 | Test R2: -2.3816 | Test MAE: 6.0519
Iteração 332: Adicionadas 5 amostras | Incerteza Média Batch: 1.9016 | Test R2: -2.3311 | Test MAE: 6.0093
Iteração 333: Adicionadas 5 amostras | Incerteza Média Batch: 1.8795 | Test R2: -2.2843 | Test MAE: 5.9707
Iteração 334: Adicionadas 5 amostras | Incerteza Média Batch: 1.8937 | Test R2: -2.2561 | Test MAE: 5.9541
Iteração 335: Adicionadas 5 amostras | Incerteza Média Batch: 1.8228 | Test R2: -2.2141 | Test MAE: 5.9196
Iteração 336: Adicionadas 5 amostras | Incerteza Média Batch: 1.7967 | Test R2: -2.1728 | Test MAE: 5.8855
Iteração 337: Adicionadas 5 amostras | Incerteza Média Batch: 1.7878 | Test R2: -2.1475 | Test MAE: 5.8709
Iteração 338: Adicionadas 5 amostras | Incerteza Média Batch: 1.7773 | Test R2: -2.1441 | Test MAE: 5.8836
Iteração 339: Adicionadas 5 amostras | Incerteza Média Batch: 1.7485 | Test R2: -2.1811 | Test MAE: 5.9437
Iteração 340: Adicionadas 5 amostras | Incerteza Média Batch: 1.7353 | Test R2: -2.2193 | Test MAE: 6.0015
Iteração 341: Adicionadas 5 amostras | Incerteza Média Batch: 1.6944 | Test R2: -2.2523 | Test MAE: 6.0531
Iteração 342: Adicionadas 5 amostras | Incerteza Média Batch: 1.7057 | Test R2: -2.2810 | Test MAE: 6.0978
Iteração 343: Adicionadas 5 amostras | Incerteza Média Batch: 1.6642 | Test R2: -2.3149 | Test MAE: 6.1482
Iteração 344: Adicionadas 5 amostras | Incerteza Média Batch: 1.6329 | Test R2: -2.3559 | Test MAE: 6.2064
Iteração 345: Adicionadas 5 amostras | Incerteza Média Batch: 1.6128 | Test R2: -2.3724 | Test MAE: 6.2353
Iteração 346: Adicionadas 5 amostras | Incerteza Média Batch: 1.6154 | Test R2: -2.3659 | Test MAE: 6.2373
Iteração 347: Adicionadas 5 amostras | Incerteza Média Batch: 1.6402 | Test R2: -2.3430 | Test MAE: 6.2193
Iteração 348: Adicionadas 5 amostras | Incerteza Média Batch: 1.6869 | Test R2: -2.2903 | Test MAE: 6.1654
Iteração 349: Adicionadas 5 amostras | Incerteza Média Batch: 1.7657 | Test R2: -2.2258 | Test MAE: 6.0964
Iteração 350: Adicionadas 5 amostras | Incerteza Média Batch: 1.8652 | Test R2: -2.1917 | Test MAE: 6.0614
Iteração 351: Adicionadas 5 amostras | Incerteza Média Batch: 1.8502 | Test R2: -2.1491 | Test MAE: 6.0148
Iteração 352: Adicionadas 5 amostras | Incerteza Média Batch: 1.7711 | Test R2: -2.1201 | Test MAE: 5.9841
Iteração 353: Adicionadas 5 amostras | Incerteza Média Batch: 1.7184 | Test R2: -2.0878 | Test MAE: 5.9473
Iteração 354: Adicionadas 5 amostras | Incerteza Média Batch: 1.6360 | Test R2: -2.0506 | Test MAE: 5.9032
Iteração 355: Adicionadas 5 amostras | Incerteza Média Batch: 1.6091 | Test R2: -2.0466 | Test MAE: 5.9006
Iteração 356: Adicionadas 5 amostras | Incerteza Média Batch: 1.6082 | Test R2: -2.0487 | Test MAE: 5.9058
Iteração 357: Adicionadas 5 amostras | Incerteza Média Batch: 1.5900 | Test R2: -2.0537 | Test MAE: 5.9134
Iteração 358: Adicionadas 5 amostras | Incerteza Média Batch: 1.6003 | Test R2: -2.0809 | Test MAE: 5.9489
Iteração 359: Adicionadas 5 amostras | Incerteza Média Batch: 1.6015 | Test R2: -2.1134 | Test MAE: 5.9926
Iteração 360: Adicionadas 5 amostras | Incerteza Média Batch: 1.5930 | Test R2: -2.1322 | Test MAE: 6.0181
Iteração 361: Adicionadas 5 amostras | Incerteza Média Batch: 1.5905 | Test R2: -2.1646 | Test MAE: 6.0602
Iteração 362: Adicionadas 5 amostras | Incerteza Média Batch: 1.5772 | Test R2: -2.1829 | Test MAE: 6.0832
Iteração 363: Adicionadas 5 amostras | Incerteza Média Batch: 1.5709 | Test R2: -2.2138 | Test MAE: 6.1220
Iteração 364: Adicionadas 5 amostras | Incerteza Média Batch: 1.5401 | Test R2: -2.2351 | Test MAE: 6.1500
Iteração 365: Adicionadas 5 amostras | Incerteza Média Batch: 1.5292 | Test R2: -2.2433 | Test MAE: 6.1624
Iteração 366: Adicionadas 5 amostras | Incerteza Média Batch: 1.5010 | Test R2: -2.2385 | Test MAE: 6.1604
Iteração 367: Adicionadas 5 amostras | Incerteza Média Batch: 1.5297 | Test R2: -2.2461 | Test MAE: 6.1748
Iteração 368: Adicionadas 5 amostras | Incerteza Média Batch: 1.5277 | Test R2: -2.2308 | Test MAE: 6.1610
Iteração 369: Adicionadas 5 amostras | Incerteza Média Batch: 1.5267 | Test R2: -2.2006 | Test MAE: 6.1284
Iteração 370: Adicionadas 5 amostras | Incerteza Média Batch: 1.5238 | Test R2: -2.1418 | Test MAE: 6.0611
Iteração 371: Adicionadas 5 amostras | Incerteza Média Batch: 1.5399 | Test R2: -2.0834 | Test MAE: 5.9933
Iteração 372: Adicionadas 5 amostras | Incerteza Média Batch: 1.5317 | Test R2: -2.0109 | Test MAE: 5.9045
Iteração 373: Adicionadas 5 amostras | Incerteza Média Batch: 1.5546 | Test R2: -1.9630 | Test MAE: 5.8475
Iteração 374: Adicionadas 5 amostras | Incerteza Média Batch: 1.5420 | Test R2: -1.9088 | Test MAE: 5.7801
Iteração 375: Adicionadas 5 amostras | Incerteza Média Batch: 1.5425 | Test R2: -1.8566 | Test MAE: 5.7143
Iteração 376: Adicionadas 5 amostras | Incerteza Média Batch: 1.5907 | Test R2: -1.7900 | Test MAE: 5.6258
Iteração 377: Adicionadas 5 amostras | Incerteza Média Batch: 1.6837 | Test R2: -1.7241 | Test MAE: 5.5340
Iteração 378: Adicionadas 5 amostras | Incerteza Média Batch: 1.7641 | Test R2: -1.6593 | Test MAE: 5.4386
Iteração 379: Adicionadas 5 amostras | Incerteza Média Batch: 1.9208 | Test R2: -1.6013 | Test MAE: 5.3449
Iteração 380: Adicionadas 5 amostras | Incerteza Média Batch: 2.0674 | Test R2: -1.5587 | Test MAE: 5.2666
Iteração 381: Adicionadas 5 amostras | Incerteza Média Batch: 2.2245 | Test R2: -1.5400 | Test MAE: 5.2244
Iteração 382: Adicionadas 5 amostras | Incerteza Média Batch: 2.2218 | Test R2: -1.5419 | Test MAE: 5.2101
Iteração 383: Adicionadas 5 amostras | Incerteza Média Batch: 1.9141 | Test R2: -1.5463 | Test MAE: 5.2077
Iteração 384: Adicionadas 5 amostras | Incerteza Média Batch: 1.8324 | Test R2: -1.5540 | Test MAE: 5.2172
Iteração 385: Adicionadas 5 amostras | Incerteza Média Batch: 2.0121 | Test R2: -1.5467 | Test MAE: 5.2149
Iteração 386: Adicionadas 5 amostras | Incerteza Média Batch: 2.3918 | Test R2: -1.5299 | Test MAE: 5.2061
Iteração 387: Adicionadas 5 amostras | Incerteza Média Batch: 2.8346 | Test R2: -1.5108 | Test MAE: 5.1993
Iteração 388: Adicionadas 5 amostras | Incerteza Média Batch: 3.2001 | Test R2: -1.5040 | Test MAE: 5.2082
Iteração 389: Adicionadas 5 amostras | Incerteza Média Batch: 2.9366 | Test R2: -1.5093 | Test MAE: 5.2356
Iteração 390: Adicionadas 5 amostras | Incerteza Média Batch: 2.4774 | Test R2: -1.5317 | Test MAE: 5.2892
Iteração 391: Adicionadas 5 amostras | Incerteza Média Batch: 2.1445 | Test R2: -1.5740 | Test MAE: 5.3714
Iteração 392: Adicionadas 5 amostras | Incerteza Média Batch: 1.8771 | Test R2: -1.6316 | Test MAE: 5.4689
Iteração 393: Adicionadas 5 amostras | Incerteza Média Batch: 1.7558 | Test R2: -1.6973 | Test MAE: 5.5719
Iteração 394: Adicionadas 5 amostras | Incerteza Média Batch: 1.6895 | Test R2: -1.7515 | Test MAE: 5.6533
Iteração 395: Adicionadas 5 amostras | Incerteza Média Batch: 1.7573 | Test R2: -1.7918 | Test MAE: 5.7120
Iteração 396: Adicionadas 5 amostras | Incerteza Média Batch: 1.8677 | Test R2: -1.8067 | Test MAE: 5.7321
Iteração 397: Adicionadas 5 amostras | Incerteza Média Batch: 2.0352 | Test R2: -1.8105 | Test MAE: 5.7359
Iteração 398: Adicionadas 5 amostras | Incerteza Média Batch: 2.0519 | Test R2: -1.7949 | Test MAE: 5.7105
Iteração 399: Adicionadas 5 amostras | Incerteza Média Batch: 2.0862 | Test R2: -1.7771 | Test MAE: 5.6813
Iteração 400: Adicionadas 5 amostras | Incerteza Média Batch: 2.1142 | Test R2: -1.7475 | Test MAE: 5.6337
Iteração 401: Adicionadas 5 amostras | Incerteza Média Batch: 2.0946 | Test R2: -1.7072 | Test MAE: 5.5682
Iteração 402: Adicionadas 5 amostras | Incerteza Média Batch: 2.0847 | Test R2: -1.6671 | Test MAE: 5.5016
Iteração 403: Adicionadas 5 amostras | Incerteza Média Batch: 1.9758 | Test R2: -1.6518 | Test MAE: 5.4711
Iteração 404: Adicionadas 5 amostras | Incerteza Média Batch: 2.0038 | Test R2: -1.6528 | Test MAE: 5.4660
Iteração 405: Adicionadas 5 amostras | Incerteza Média Batch: 2.0116 | Test R2: -1.6725 | Test MAE: 5.4929
Iteração 406: Adicionadas 5 amostras | Incerteza Média Batch: 2.0835 | Test R2: -1.7110 | Test MAE: 5.5504
